entity,code,theyear,prevalence_mental_disorders_male_percent,prevalence_mental_disorders_female_percent,population_historical_estimates,continent,unique_id,happiness_rank,country,region,happiness_score,economy_gdp_per_capita,family_social_support,health_life_expectancy,freedom,trust_government_corruption,generosity,the_year
Austria,AUT,2017,14.79865296,16.68882087,8819902,,12,13,Austria,Western Europe,7.006000042,1.487097263,1.459944963,0.815328419,0.56776619,0.221060365,0.316472322,2017
Austria,AUT,2018,14.79986048,16.71342463,8891383,,11,12,Austria,Western Europe,7.139,1.341,1.504,0.891,0.617,0.224,0.242,2018
Austria,AUT,2019,14.79291527,16.75705434,8955108,,9,10,Austria,Western Europe,7.246,1.376,1.475,1.016,0.532,0.226,0.244,2019
Azerbaijan,AZE,2015,10.24219958,10.44665521,9622741,Asia,79,80,Azerbaijan,Central and Eastern Europe,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2015
Azerbaijan,AZE,2016,10.22907914,10.43272093,9736041,,80,81,Azerbaijan,Central and Eastern Europe,5.291,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2016
Azerbaijan,AZE,2017,10.22261181,10.41748074,9845316,,84,85,Azerbaijan,Central and Eastern Europe,5.234000206,1.153601766,1.152400255,0.540775776,0.398155838,0.180987507,0.04526934,2017
Azerbaijan,AZE,2018,10.21970084,10.43378304,9949537,,86,87,Azerbaijan,Central and Eastern Europe,5.201,1.024,1.161,0.603,0.43,0.176,0.031,2018
Azerbaijan,AZE,2019,10.2280521,10.47302585,10047719,,89,90,Azerbaijan,Central and Eastern Europe,5.208,1.043,1.147,0.769,0.351,0.182,0.035,2019
Bahrain,BHR,2015,14.0336468,15.72366106,1371853,Asia,48,49,Bahrain,Middle East and Northern Africa,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,2015
Bahrain,BHR,2016,13.99153826,15.70029987,1425793,,41,42,Bahrain,Middle East and Northern Africa,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2016
Bahrain,BHR,2017,13.95528637,15.67886092,1494077,,40,41,Bahrain,Middle East and Northern Africa,6.086999893,1.488412261,1.323110461,0.653133035,0.536746919,0.25704217,0.172668487,2017
Bahrain,BHR,2018,13.95232085,15.68928005,1569440,,42,43,Bahrain,Middle East and Northern Africa,6.105,1.338,1.366,0.698,0.594,0.123,0.243,2018
Bahrain,BHR,2019,13.96429363,15.72489737,1641164,,36,37,Bahrain,Middle East and Northern Africa,6.199,1.362,1.368,0.871,0.536,0.11,0.255,2019
Bangladesh,BGD,2015,11.50654203,12.27668701,156256287,Asia,108,109,Bangladesh,Southern Asia,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2015
Bangladesh,BGD,2016,11.45340576,12.25629755,157977151,,109,110,Bangladesh,Southern Asia,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2016
Bangladesh,BGD,2017,11.40909597,12.2331878,159685421,,109,110,Bangladesh,Southern Asia,4.607999802,0.586682975,0.735131741,0.533241034,0.478356659,0.123717859,0.172255352,2017
Bangladesh,BGD,2018,11.38005019,12.21132075,161376713,,114,115,Bangladesh,Southern Asia,4.5,0.532,0.85,0.579,0.58,0.144,0.153,2018
Bangladesh,BGD,2019,11.37629555,12.18765208,163046173,,124,125,Bangladesh,Southern Asia,4.456,0.562,0.928,0.723,0.527,0.143,0.166,2019
Belarus,BLR,2015,12.25974292,12.86511616,9439424,Europe,58,59,Belarus,Central and Eastern Europe,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2015
Belarus,BLR,2016,12.25302109,12.8567891,9445638,,60,61,Belarus,Central and Eastern Europe,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2016
Belarus,BLR,2017,12.24645895,12.84782733,9450233,,66,67,Belarus,Central and Eastern Europe,5.568999767,1.15655756,1.444945216,0.637714267,0.295400262,0.156313822,0.155137509,2017
Belarus,BLR,2018,12.21991542,12.81886545,9452615,,72,73,Belarus,Central and Eastern Europe,5.483,1.039,1.498,0.7,0.307,0.154,0.101,2018
Belarus,BLR,2019,12.18073198,12.77390525,9452409,,80,81,Belarus,Central and Eastern Europe,5.323,1.067,1.465,0.789,0.235,0.142,0.094,2019
Belgium,BEL,2015,14.75980871,15.22008346,11287931,Europe,18,19,Belgium,Western Europe,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2015
Belgium,BEL,2016,14.77557007,15.19025639,11354407,,17,18,Belgium,Western Europe,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2016
Belgium,BEL,2017,14.79957005,15.15483793,11419752,,16,17,Belgium,Western Europe,6.890999794,1.463780761,1.462312698,0.818091869,0.539770722,0.251343131,0.231503338,2017
Belgium,BEL,2018,14.79255676,15.1334991,11482180,,15,16,Belgium,Western Europe,6.927,1.324,1.483,0.894,0.583,0.24,0.188,2018
Belgium,BEL,2019,14.76766177,15.11466665,11539326,,17,18,Belgium,Western Europe,6.923,1.356,1.504,0.986,0.473,0.21,0.16,2019
Belize,BLZ,2016,14.50593129,14.06850891,368399,,51,52,Belize,Latin America and Caribbean,5.956,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,2016
Belize,BLZ,2017,14.50259615,14.08337414,375775,,49,50,Belize,-,5.955999851,0.907975316,1.081417799,0.450191766,0.547509372,0.096581072,0.240015641,2017
Belize,BLZ,2018,14.50603333,14.10036832,383071,,48,49,Belize,-,5.956,0.807,1.101,0.474,0.593,0.089,0.183,2018
Benin,BEN,2015,11.46887167,12.12258657,10575962,Africa,154,155,Benin,Sub-Saharan Africa,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,2015
Benin,BEN,2016,11.46979377,12.12946088,10872072,,152,153,Benin,Sub-Saharan Africa,3.484,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2016
Benin,BEN,2017,11.47374067,12.13049077,11175192,,142,143,Benin,Sub-Saharan Africa,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.060929015,0.207948461,2017
