entity,code,theyear,prevalence_mental_disorders_male_percent,prevalence_mental_disorders_female_percent,population_historical_estimates,continent,unique_id,happiness_rank,country,region,happiness_score,economy_gdp_per_capita,family_social_support,health_life_expectancy,freedom,trust_government_corruption,generosity,the_year
Armenia,ARM,2015,11.09310922,11.45791354,2925559,Asia,126,127,Armenia,Central and Eastern Europe,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,2015
Armenia,ARM,2016,11.08401598,11.46039222,2936147,,120,121,Armenia,Central and Eastern Europe,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,2016
Armenia,ARM,2017,11.07979059,11.46086791,2944789,,120,121,Armenia,Central and Eastern Europe,4.375999928,0.900596738,1.007483721,0.637524426,0.198303267,0.026674422,0.083488092,2017
Armenia,ARM,2018,11.08293671,11.46572023,2951741,,128,129,Armenia,Central and Eastern Europe,4.321,0.816,0.99,0.666,0.26,0.028,0.077,2018
Armenia,ARM,2019,11.08832092,11.48315211,2957728,,115,116,Armenia,Central and Eastern Europe,4.559,0.85,1.055,0.815,0.283,0.064,0.095,2019
Armenia,ARM,2020,,,2963234,,115,116,Armenia,Commonwealth of Independent States,4.676799774,0.808262408,1.034576893,0.77585727,0.378075808,0.104618184,0.107225738,2020
Armenia,ARM,2021,,,2968128,,85,86,Armenia,Commonwealth of Independent States,5.283,0.996,0.758,0.585,0.54,0.198,0.079,2021
Australia,AUS,2015,18.66271176,19.27197142,23932499,Oceania,9,10,Australia,Australia and New Zealand,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2015
Australia,AUS,2016,18.76145056,19.10982272,24262710,,8,9,Australia,Australia and New Zealand,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2016
Australia,AUS,2017,18.86974184,18.97818853,24584619,,9,10,Australia,Australia and New Zealand,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,0.30118373,0.47769925,2017
Australia,AUS,2018,18.99414272,19.07480138,24898153,,9,10,Australia,Australia and New Zealand,7.272,1.34,1.573,0.91,0.647,0.302,0.361,2018
Australia,AUS,2019,19.28918068,19.32885828,25203200,,10,11,Australia,Australia and New Zealand,7.228,1.372,1.548,1.036,0.557,0.29,0.332,2019
Australia,AUS,2020,,,25499881,,11,12,Australia,North America and ANZ,7.222799778,1.310396433,1.477146268,1.022607684,0.621877193,0.335996419,0.324973613,2020
Australia,AUS,2021,,,25788217,,10,11,Australia,North America and ANZ,7.183,1.453,1.076,0.801,0.647,0.317,0.291,2021
Austria,AUT,2015,14.73632451,16.65515234,8678667,Europe,12,13,Austria,Western Europe,7.2,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2015
Austria,AUT,2016,14.76828519,16.67150309,8747306,,11,12,Austria,Western Europe,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,2016
Austria,AUT,2017,14.79865296,16.68882087,8819902,,12,13,Austria,Western Europe,7.006000042,1.487097263,1.459944963,0.815328419,0.56776619,0.221060365,0.316472322,2017
Austria,AUT,2018,14.79986048,16.71342463,8891383,,11,12,Austria,Western Europe,7.139,1.341,1.504,0.891,0.617,0.224,0.242,2018
Austria,AUT,2019,14.79291527,16.75705434,8955108,,9,10,Austria,Western Europe,7.246,1.376,1.475,1.016,0.532,0.226,0.244,2019
Austria,AUT,2020,,,9006400,,8,9,Austria,Western Europe,7.294199944,1.317285538,1.437444925,1.000933528,0.603368878,0.281256139,0.255509764,2020
Austria,AUT,2021,,,9043072,,9,10,Austria,Western Europe,7.268,1.492,1.062,0.782,0.64,0.292,0.215,2021
Azerbaijan,AZE,2015,10.24219958,10.44665521,9622741,Asia,79,80,Azerbaijan,Central and Eastern Europe,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2015
Azerbaijan,AZE,2016,10.22907914,10.43272093,9736041,,80,81,Azerbaijan,Central and Eastern Europe,5.291,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2016
Azerbaijan,AZE,2017,10.22261181,10.41748074,9845316,,84,85,Azerbaijan,Central and Eastern Europe,5.234000206,1.153601766,1.152400255,0.540775776,0.398155838,0.180987507,0.04526934,2017
Azerbaijan,AZE,2018,10.21970084,10.43378304,9949537,,86,87,Azerbaijan,Central and Eastern Europe,5.201,1.024,1.161,0.603,0.43,0.176,0.031,2018
Azerbaijan,AZE,2019,10.2280521,10.47302585,10047719,,89,90,Azerbaijan,Central and Eastern Europe,5.208,1.043,1.147,0.769,0.351,0.182,0.035,2019
Azerbaijan,AZE,2020,,,10139175,,88,89,Azerbaijan,Commonwealth of Independent States,5.164800167,0.990272701,1.180613041,0.731134057,0.467734724,0.247307181,0.040113214,2020
Azerbaijan,AZE,2021,,,10223344,,89,90,Azerbaijan,Commonwealth of Independent States,5.171,1.025,0.841,0.541,0.526,0.276,0.043,2021
Bahrain,BHR,2015,14.0336468,15.72366106,1371853,Asia,48,49,Bahrain,Middle East and Northern Africa,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,2015
Bahrain,BHR,2016,13.99153826,15.70029987,1425793,,41,42,Bahrain,Middle East and Northern Africa,6.218,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2016
Bahrain,BHR,2017,13.95528637,15.67886092,1494077,,40,41,Bahrain,Middle East and Northern Africa,6.086999893,1.488412261,1.323110461,0.653133035,0.536746919,0.25704217,0.172668487,2017
Bahrain,BHR,2018,13.95232085,15.68928005,1569440,,42,43,Bahrain,Middle East and Northern Africa,6.105,1.338,1.366,0.698,0.594,0.123,0.243,2018
Bahrain,BHR,2019,13.96429363,15.72489737,1641164,,36,37,Bahrain,Middle East and Northern Africa,6.199,1.362,1.368,0.871,0.536,0.11,0.255,2019
Bahrain,BHR,2020,,,1701583,,39,40,Bahrain,Middle East and North Africa,6.227300167,1.296692252,1.31532371,0.838836372,0.610399902,0.126697257,0.287453711,2020
Bahrain,BHR,2021,,,1748295,,21,22,Bahrain,Middle East and North Africa,6.647,1.409,0.899,0.662,0.661,0.139,0.246,2021
Bangladesh,BGD,2015,11.50654203,12.27668701,156256287,Asia,108,109,Bangladesh,Southern Asia,4.694,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2015
Bangladesh,BGD,2016,11.45340576,12.25629755,157977151,,109,110,Bangladesh,Southern Asia,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2016
Bangladesh,BGD,2017,11.40909597,12.2331878,159685421,,109,110,Bangladesh,Southern Asia,4.607999802,0.586682975,0.735131741,0.533241034,0.478356659,0.123717859,0.172255352,2017
Bangladesh,BGD,2018,11.38005019,12.21132075,161376713,,114,115,Bangladesh,Southern Asia,4.5,0.532,0.85,0.579,0.58,0.144,0.153,2018
Bangladesh,BGD,2019,11.37629555,12.18765208,163046173,,124,125,Bangladesh,Southern Asia,4.456,0.562,0.928,0.723,0.527,0.143,0.166,2019
Bangladesh,BGD,2020,,,164689383,,106,107,Bangladesh,South Asia,4.832799911,0.556156278,0.868800581,0.694940507,0.604130566,0.176735908,0.176745117,2020
Bangladesh,BGD,2021,,,166303494,,100,101,Bangladesh,South Asia,5.025,0.635,0.52,0.514,0.603,0.164,0.161,2021
Belarus,BLR,2015,12.25974292,12.86511616,9439424,Europe,58,59,Belarus,Central and Eastern Europe,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2015
Belarus,BLR,2016,12.25302109,12.8567891,9445638,,60,61,Belarus,Central and Eastern Europe,5.802,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2016
Belarus,BLR,2017,12.24645895,12.84782733,9450233,,66,67,Belarus,Central and Eastern Europe,5.568999767,1.15655756,1.444945216,0.637714267,0.295400262,0.156313822,0.155137509,2017
Belarus,BLR,2018,12.21991542,12.81886545,9452615,,72,73,Belarus,Central and Eastern Europe,5.483,1.039,1.498,0.7,0.307,0.154,0.101,2018
Belarus,BLR,2019,12.18073198,12.77390525,9452409,,80,81,Belarus,Central and Eastern Europe,5.323,1.067,1.465,0.789,0.235,0.142,0.094,2019
Belarus,BLR,2020,,,9449321,,74,75,Belarus,Commonwealth of Independent States,5.539899826,1.018854499,1.38713932,0.75258857,0.290755868,0.193607435,0.08993306,2020
Belarus,BLR,2021,,,9442867,,74,75,Belarus,Commonwealth of Independent States,5.534,1.124,1.007,0.56,0.326,0.199,0.07,2021
Belgium,BEL,2015,14.75980871,15.22008346,11287931,Europe,18,19,Belgium,Western Europe,6.937,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2015
Belgium,BEL,2016,14.77557007,15.19025639,11354407,,17,18,Belgium,Western Europe,6.929,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2016
Belgium,BEL,2017,14.79957005,15.15483793,11419752,,16,17,Belgium,Western Europe,6.890999794,1.463780761,1.462312698,0.818091869,0.539770722,0.251343131,0.231503338,2017
Belgium,BEL,2018,14.79255676,15.1334991,11482180,,15,16,Belgium,Western Europe,6.927,1.324,1.483,0.894,0.583,0.24,0.188,2018
